Confirmed,Death,recovered
17979164,503120,15819764
18103412,505223,15862096
18180808,507488,16008271
18257432,509526,16038230
18332493,511534,16097711
18393158,513051,16146608
18425138,513772,16160826
18457197,514486,16240380
18523153,516424,16277785
18570296,518488,16299258
18631426,520420,16477253
18694998,522296,16509821
18748731,523932,16524100
18774193,524703,16582483
18802128,525492,16675561
18863811,527251,16740136
18917978,528836,16763522
18972125,530563,16796161
19030577,532035,16823301
19074698,533193,16983333
19093845,533758,17001043
19113078,534540,17014796
19161644,536199,17037027
19217741,537735,17128429
19272139,539344,17141848
19315054,540733,17252650
19364084,542004,17254329
19380831,542485,17304814
19397587,543153,17319329
19428736,544532,17371065
19484572,545932,17404495
19533253,547363,17470332
19640373,548654,17475091
19675021,549735,17656625
19693277,550214,17702038
19714719,550839,17704701
19758310,552128,17715481
19805359,553501,17742532
19846680,554842,17771228
19887058,555727,17771228
19922146,556676,17771228
19942499,557091,17771228
19961374,557635,17771228
19993870,558872,17771228
20034407,559944,17771228
