Confirmed,Death,recovered
2099522,195547,2065100
2101139,195696,2066827
2102904,195795,2068499
2104394,195890,2070180
2105005,195973,2070810
2106371,196058,2072564
2107873,196138,2074252
2108595,196214,2075361
2108595,196214,2075361
2111393,196353,2078316
2113201,196438,2080424
2114445,196518,2081755
2116652,196598,2083747
2119068,196673,2086086
