Confirmed,Death,recovered
1601858,34569,1555294
1602854,34611,1557199
1604713,34792,1558669
1606358,34875,1559891
1607749,34958,1561758
1609177,35026,1563280
1610345,35119,1564777
1611090,35151,1566138
1611917,35176,1567236
1613288,35295,1568294
1614629,35366,1568981
1615771,35448,1570492
1616942,35528,1571788
1617852,35616,1573007
1618457,35640,1574176
1619183,35671,1575377
